index,score
61726,0.06024983435837988
57540,0.009062047016020383
58265,0.062418012070162315
46218,0.01946231598434657
60139,-0.013056786685660543
39383,0.010778026188329445
52000,0.0779641381298595
35497,0.08836048735118442
14208,0.09330576005464805
27751,0.07659469653228243
19678,0.05348825444063346
16458,-0.005263311451987759
60739,0.09550304648679729
7403,0.018708144386910222
28706,0.05954125956353541
36184,0.01946231598434657
26467,-0.0110782906421098
24360,0.10746121746485848
22995,-0.015030947275135154
55274,0.0759098388309418
32178,0.09672987205228346
36751,0.09017666791663552
25372,0.06155455973496603
30509,0.08334361183673636
50236,0.022473917488944006
21251,0.010778026188329445
29594,0.08966521272777056
45486,0.057548643481850126
15263,0.10746121746485848
39674,0.01946231598434657
27854,0.08720601750721046
42673,0.09067491803856012
44964,0.06542158741317979
39163,0.01946231598434657
11948,0.11214969148678665
59183,0.11214969148678665
20339,0.08836048735118442
37791,0.008828967550090827
25614,0.01946231598434657
5906,0.0956931130699897
59033,0.01946231598434657
16203,0.011008533995648537
44687,0.006783850127799446
51570,0.07694947298854052
13274,-0.009158857069854545
60332,0.011008533995648537
48111,0.0753148993413474
47568,0.01946231598434657
12917,0.07903314186087992
20964,-0.01143705395807551
20985,0.08278797539396893
58616,0.08230399065836119
54925,0.056934922002781954
36701,0.09017666791663552
6330,0.010778026188329445
37407,0.01946231598434657
12920,0.08696273204913245
39330,-0.0007495455413955715
56797,-0.0007495455413955715
51643,0.05348825444063346
2385,0.011008533995648537
49025,0.01946231598434657
14354,-0.01143705395807551
37453,0.05348825444063346
23924,0.07659469653228243
52462,0.0806550855734991
31941,0.0644678817758046
6879,0.11536362735428975
3361,0.024378558103376663
23350,0.07184944978972513
22818,0.006783850127799446
59656,0.09071756558222147
58530,0.05218352906404733
60813,0.01946231598434657
23609,0.0806550855734991
39114,0.01946231598434657
19885,0.08334361183673636
11883,0.01946231598434657
46657,0.07694947298854052
10325,0.011008533995648537
46095,0.09500050518074495
21671,0.0628152498524263
20405,0.09550304648679729
18120,0.011008533995648537
52163,0.08334361183673636
12687,0.10293009536899748
15099,0.01946231598434657
11822,0.08696273204913245
47484,0.018708144386910222
20392,0.08278797539396893
25154,0.01946231598434657
23986,0.01946231598434657
2989,0.05954125956353541
11740,0.09067491803856012
21544,0.07382410468981383
5529,-0.01143705395807551
36512,0.08321730923077866
25952,0.009062047016020383
59504,0.08464833721332249
16960,0.018708144386910222
41431,0.011008533995648537
7564,0.01946231598434657
13553,0.011008533995648537
62833,-0.0002906347755802924
29643,0.05348825444063346
26262,0.006783850127799446
48658,0.09069038528340018
52167,0.006783850127799446
57169,0.0753148993413474
186,0.0759098388309418
37233,0.0034751383264535196
48473,0.06997925088164617
13750,0.006783850127799446
26470,0.008828967550090827
46217,0.09672987205228346
1600,0.06687563889364294
271,0.056934922002781954
15887,0.05348825444063346
12024,0.01946231598434657
20186,0.07630685286432358
61075,0.09672987205228346
60092,0.011008533995648537
10792,0.0568031667962314
47938,-0.022836370179153964
44472,0.022473917488944006
58541,0.02064734215399197
21311,0.07630685286432358
12402,0.0759098388309418
49717,0.010778026188329445
